id,name,collection,country,prefecture,priority,score,unknown_dimensions,reasons,recommended_action,current_facets
jp-148,汁無し担々麺,japan_local_ramen,日本,広島県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,brothless|rich|spicy
jp-150,呉冷麺,japan_local_ramen,日本,広島県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,cold|light
jp-160,須崎鍋焼きラーメン,japan_local_ramen,日本,高知県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,fried_griddle|roasted
jp-164,焼きラーメン,japan_local_ramen,日本,福岡県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,fried_griddle|roasted
jp-178,別府冷麺,japan_local_ramen,日本,大分県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,cold|light
jp-180,宮崎辛麺,japan_local_ramen,日本,宮崎県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup|spicy
world-007,ラミョン,global_ramen_culture,韓国,,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,instant_noodle|spicy|stew
jp-007,天ぷらラーメン,japan_local_ramen,日本,北海道,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,soup|tempura
jp-008,中標津ミルキーラーメン,japan_local_ramen,日本,北海道,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,dairy|rich|soup
jp-010,旭川ホルメン,japan_local_ramen,日本,北海道,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,meat_ingredient|offal|rich|soup
jp-023,三陸磯ラーメン,japan_local_ramen,日本,岩手県,medium,5,noodle,noodle_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認,seafood_forward|seafood_ingredient|soup
jp-024,大船渡さんまラーメン,japan_local_ramen,日本,岩手県,medium,5,noodle,noodle_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認,seafood_forward|seafood_ingredient|soup
